Vertical,Sistema,Tema,Quantidade
"Pessoal","Folha (Cloud)","Outros",234
"Contábil","Contabilidade (Cloud)","Gerenciador de relatórios",232
"Arrecadação","Tributos (Cloud)","Atendimento",215
"Arrecadação","Tributos (Cloud)","Fonte de dados - Tributos",181
"Contratos","Contratos (Cloud)","Interações com o Contábil",174
"Contábil","Contabilidade (Cloud)","Outros",170
"Contratos","Contratos (Cloud)","Contratações",166
"Contratos","Contratos (Cloud)","Solicitação de Fornecimento",166
"Contábil","Tesouraria (Cloud)","Pagamentos",153
"Pessoal","Folha (Cloud)","Gerenciador de relatórios",148
"Arrecadação","Tributos (Cloud)","Transferência de imóveis",129
"Saúde","Saúde (Cloud)","Cadastros",129
"Arrecadação","Tributos (Cloud)","Outros",122
"Contratos","Compras (Cloud)","Outros",120
"Arrecadação","Tributos (Cloud)","Fiscalização Imobiliária",118
"Saúde","Saúde (Cloud)","Atendimento",112
"Arrecadação","Tributos (Cloud)","Imóveis",111
"Contratos","Compras (Cloud)","Processos Administrativos",107
"Contábil","Contabilidade (Cloud)","Cadastro de Empenhos",104
"Educação","Professores","Registro de frequência",104
"Contábil","Contabilidade (Cloud)","Interação com Folha",103
"Pessoal","Folha (Cloud)","Matrículas funcionais",103
"Arrecadação","Tributos (Cloud)","Requerimento/Manutenção de lançamento",102
"Educação","Professores","Conteúdos planejados",99
"Saúde","Saúde (Cloud)","Outros",99
"Contratos","Compras (Cloud)","Relatórios",98
"Arrecadação","Tributos (Cloud)","Econômicos",93
"Arrecadação","Tributos (Cloud)","Manutenção da divida",92
"Pessoal","Recursos Humanos (Cloud)","Outros",92
"Educação","Educação","Alunos",89
"Contratos","Contratos (Cloud)","Outros",88
"Educação","Educação","Outros",87
"Contratos","Frotas (Cloud)","Lançamentos de despesas",86
"Arrecadação","Tributos (Cloud)","Saldo(Compensação/Restituição)",82
"Contábil","Contabilidade (Cloud)","Escrituração de documentos",81
"Contábil","Contabilidade (Cloud)","Nova rotina",80
"Arrecadação","Tributos (Cloud)","Parcelamento de Créditos",79
"Contratos","Compras (Cloud)","Processo Administrativo de Compras e Licitações",78
"Contratos","Compras (Cloud)","Fornecedores",78
"Arrecadação","Tributos (Cloud)","Contribuintes",77
"Atendimento","Transparência (Cloud)","Consultas padrões",76
"Contratos","Contratos (Cloud)","Itens da Contratação",75
"Contábil","Planejamento (Cloud)","Outros",75
"Arrecadação","Tributos (Cloud)","Unificação de cadastros",74
"Arrecadação","Tributos (Cloud)","Cálculo",73
"Contratos","Compras (Cloud)","Cotação de preço",72
"Pessoal","Folha (Cloud)","Integração com o eSocial",72
"Pessoal","Folha (Cloud)","Nova rotina",71
"ISS","Livro Eletrônico","Outros",71
"Pessoal","Folha (Cloud)","Afastamentos",70
"ISS","e-Nota Fly","Outros",69
"Contratos","Compras (Cloud)","Solicitação de Compra",67
"Contratos","Patrimônio (Cloud)","Outros",66
"Arrecadação","Tributos (Cloud)","Nova rotina",65
"Arrecadação","Tributos (Cloud)","Gerenciador de econômicos",65
"Contratos","Frotas (Cloud)","Outros",65
"Contratos","Contratos (Cloud)","Não se aplica",64
"Contratos","Compras (Cloud)","Característica geral",64
"Arrecadação","Tributos (Cloud)","Integração Contábil",64
"Pessoal","Folha (Cloud)","Gerenciador de Scripts",64
"Pessoal","Folha (Cloud)","Integração com o Transparência Cloud",64
"Contábil","Tesouraria (Cloud)","Conciliação bancária",63
"Arrecadação","Procuradoria (Cloud)","Outros",63
"Contratos","Compras (Cloud)","Itens do Processo Administrativo",62
"Arrecadação","Tributos (Cloud)","Fórmulas",62
"Contratos","Contratos (Cloud)","Alterações Contratuais",62
"Pessoal","Folha (Cloud)","Gestão de pagamentos",60
"Pessoal","Folha (Cloud)","Cálculo da folha",60
"Contábil","Contabilidade (Cloud)","eSocial - EFD-Reinf",60
"Pessoal","Folha (Cloud)","Cadastro de Pessoas",59
"Plataforma","Documentos","Geral",58
"Contábil","Tesouraria (Cloud)","Outros",58
"Contábil","Contabilidade (Cloud)","Interação com Compras",56
"Arrecadação","Tributos (Cloud)","Baixa/Estorno automático",55
"ISS","Livro Eletrônico (Cloud)","Nova rotina",54
"Arrecadação","Tributos (Cloud)","Manutenção de pagamentos",54
"Atendimento","Protocolo (Cloud)","Abertura de processos",54
"Contratos","Almoxarifado","Outros",54
"Arrecadação","Fatura","Outros",53
"Contratos","Compras (Cloud)","Materiais e serviços",52
"Pessoal","Folha (Cloud)","Integração com o Contábil",52
"Saúde","Saúde (Cloud)","Relatórios",52
"Educação","Educação","Lista de espera",51
"Contratos","Compras (Cloud)","Interações com o Transparência",51
"Plataforma","Documentos","Nova rotina",51
"Pessoal","Folha (Cloud)","Cadastro de Eventos",50
"Pessoal","Folha (Cloud)","Cálculo de férias",50
"Plataforma","Studio Extensões","Nova rotina",50
"Educação","Educação","Matrículas",49
"Arrecadação","Tributos (Cloud)","Emissão de Documentos",48
"Educação","Professores","Lançamento de desempenho",48
"Contratos","Compras (Cloud)","Ata de Registro de Preço",48
"Arrecadação","Tributos (Cloud)","Receitas Diversas",47
"Contratos","Contratos (Cloud)","Relatórios",47
"Contratos","Contratos (Cloud)","Acesso ao sistema",47
"Arrecadação","Tributos (Cloud)","Solicitação de transferência de imóveis",47
"Atendimento","Minha Cidade","Outros",47
"Arrecadação","Tributos (Cloud)","Guias",46
"Educação","Educação","Turmas",46
"Contratos","Compras (Cloud)","Propostas de Preços",46
"Contratos","Almoxarifado","Saída de materiais",46
"Contábil","Contabilidade (Cloud)","Interação com o Transparência Cloud",46
"ISS","e-Nota (Cloud)","Outros",46
"Contábil","Contabilidade (Cloud)","Fonte de dados contábil",44
"Contábil","Contabilidade (Cloud)","Cadastro de despesas extras",43
"ISS","e-Nota Fly","Configuração Nota Nacional",43
"Contábil","Contabilidade (Cloud)","Cadastro de liquidação de empenho",42
"Contratos","Patrimônio (Cloud)","Registro de bens",42
"Contratos","Obras","Obras",42
"Arrecadação","Procuradoria (Cloud)","CDA - Certidão de Divida Ativa",42
"Pessoal","Folha (Cloud)","Períodos aquisitivos",42
"Pessoal","Folha (Cloud)","APIs Integrações",42
"Atendimento","Cidadão Web 4 (Fly)","Outros",42
"Atendimento","Protocolo (Cloud)","Outros",42
"Contratos","Contratos (Cloud)","Característica geral",41
"Arrecadação","Tributos (Cloud)","Projetos de Obras",41
"Arrecadação","Tributos (Cloud)","Inscrição em divida",41
"Arrecadação","Procuradoria (Cloud)","Consulta de Dívida Ativa",41
"Arrecadação","Procuradoria (Cloud)","Protesto de Dívida Ativa",41
"Contábil","Contabilidade (Cloud)","Nota de Despesa Extra",41
"ISS","e-Nota (Cloud)","Emissão da nota fiscal",40
"ISS","Livro Eletrônico (Cloud)","Declaração de Documentos Fiscais",40
"Pessoal","Minha Folha","Solicitações",40
"Contratos","Patrimônio (Cloud)","Interação com a Contabilidade",40
"Contratos","Almoxarifado","Entrada de materiais",40
"Contratos","Compras (Cloud)","Abertura de exercício",40
"Educação","Educação","Funcionários",39
"Contratos","Contratos (Cloud)","Itens do Aditivo",39
"Arrecadação","Procuradoria (Cloud)","Nova rotina",39
"Pessoal","Folha (Cloud)","Relatórios",39
"Contratos","Compras (Cloud)","Lances do Pregão Presencial",39
"Contábil","Contabilidade (Cloud)","Interação com Tributos",39
"Arrecadação","Tributos (Cloud)","Gerador de relatórios",39
"Arrecadação","Tributos (Cloud)","Integração e-Sfinge",38
"Contratos","Contratos (Cloud)","Recebimentos",37
"Arrecadação","Tributos (Cloud)","Gerenciador de Script",37
"Arrecadação","Tributos (Cloud)","Econômico",37
"Educação","Educação","Histórico escolar do aluno",36
"Educação","Educação","Frequências",35
"Arrecadação","Tributos (Cloud)","Service layer",35
"Contratos","Compras (Cloud)","Service layer",35
"Pessoal","Folha (Cloud)","Cálculo da rescisão",35
"Saúde","Saúde (Cloud)","Dispensa de Produtos",35
"Arrecadação","Tributos (Cloud)","Característica geral",35
"Pessoal","Recursos Humanos (Cloud)","Nova rotina",35
"Contratos","Monitor DF-e","NFS-e recebidas",35
"Atendimento","Transparência (Cloud)","Outros",35
"Contábil","Contabilidade (Cloud)","Característica geral",34
"Contábil","Contabilidade (Cloud)","Adiantamentos",34
"Arrecadação","Procuradoria (Cloud)","Assinador de Documentos",34
"Atendimento","Documentos","Geral",34
"Contábil","Contabilidade (Cloud)","Cadastro de credores",33
"ISS","e-Nota Fly","Integração com a nota nacional",33
"Contratos","Compras (Cloud)","Despesas",32
"Pessoal","Folha (Cloud)","Controle de histórico das matrículas",32
"Pessoal","Folha (Cloud)","Seleção avançada",32
"Contratos","Compras (Cloud)","Forma de Contratação do Processo",32
"Pessoal","Recursos Humanos (Cloud)","Concursos",32
"Contratos","Patrimônio (Cloud)","Transferências",32
"Contratos","Compras (Cloud)","Atos finais",32
"Pessoal","Folha (Cloud)","Fórmula de cálculo do evento",32
"Arrecadação","Tributos (Cloud)","Notificação de Dívidas",32
"Arrecadação","Tributos (Cloud)","APIs Integrações",32
"Educação","Educação","Nova rotina",31
"Contratos","Patrimônio (Cloud)","Relatórios",31
"Pessoal","Folha (Cloud)","Consulta do cálculo",31
"Contratos","Compras (Cloud)","Sessão de Julgamento",31
"Contábil","Contabilidade (Cloud)","Service Layer (Contábil)",31
"Atendimento","Protocolo (Cloud)","Transferência de imóveis",31
"ISS","e-Nota Fly","Emissão de DPS",31
"Pessoal","Folha","Outros",31
"Pessoal","Folha (Cloud)","Não se aplica",30
"Contábil","Tesouraria (Cloud)","Gestão bancária",30
"Educação","Educação","Desempenhos escolares",30
"Contratos","Compras (Cloud)","Scripts",30
"Pessoal","Folha (Cloud)","Reajustes salariais",30
"Arrecadação","Tributos (Cloud)","Integração com Cidadão Web",30
"Contratos","Contratos (Cloud)","Interações com o Transparência",30
"Contábil","Contabilidade (Cloud)","SIOPE",30
"Arrecadação","Tributos (Cloud)","Endereço",30
"Contratos","Contratos (Cloud)","Críticas",30
"Atendimento","Protocolo (Cloud)","Nova rotina",30
"Contratos","Patrimônio (Cloud)","Controle de Bens",29
"Arrecadação","Procuradoria (Cloud)","Cadastro de Processos",29
"Arrecadação","Tributos (Cloud)","Alvarás",29
"Contábil","Contabilidade (Cloud)","Cadastro de Alteração Orçamentária da Despesa",29
"Pessoal","Folha (Cloud)","Integração com o Minha Folha",29
"Plataforma","Studio Extensões","Outros",29
"Contratos","Compras (Cloud)","Atender Solicitação de Compra",28
"Plataforma","Conecta","Geral",28
"Atendimento","Protocolo (Cloud)","Andamento de processos",28
"Contratos","Obras","Outros",28
"Educação","Educação","Geração do quadro de horários",27
"Arrecadação","Tributos (Cloud)","Logradouro",27
"Educação","Educação","Acesso ao sistema e permissões",27
"Atendimento","Protocolo (Cloud)","Pareceres",27
"Pessoal","Ponto (Cloud)","Outros",27
"Contábil","Contabilidade (Cloud)","Gerenciador de Scripts",26
"Arrecadação","Tributos (Cloud)","Guia Unificada",26
"Atendimento","Protocolo (Cloud)","Consulta geral do sistema",26
"Plataforma","Conecta","Nova rotina",26
"Atendimento","Cidadão Web 4 (Fly)","Emissão de Guias de Pagamento",26
"Contratos","Contratos (Cloud)","Itens da Solicitação de Fornecimento",25
"Contábil","Contabilidade (Cloud)","Arrecadação Orçamentária",25
"Pessoal","Folha (Cloud)","Serviço de Migração",25
"Atendimento","Protocolo (Cloud)","Característica geral",25
"ISS","Gestão Fiscal","Outros",25
"Pessoal","Ferramentas","Outros",25
"Pessoal","Pontual (Cloud)","Outros",25
"Educação","Biblioteca (Cloud)","Outros",25
"Educação","Educação","Relatórios",24
"Contratos","Compras (Cloud)","Gerar Contratação",24
"Contratos","Compras (Cloud)","Formas de julgamento",24
"Pessoal","Folha (Cloud)","Lançamento de variáveis de cálculo",24
"Pessoal","Folha (Cloud)","Cadastro de Cargos",24
"Contábil","Contabilidade (Cloud)","Geração arquivos TCE-PR (SIM-AM)",24
"Contratos","Contratos (Cloud)","Tipos de aditivo",24
"Contábil","Transparência (Cloud)","Outros",24
"Educação","Professores","Instrumentos de avaliações",23
"Contábil","Contabilidade (Cloud)","Cadastro de Contas Bancárias",23
"Contratos","Contratos (Cloud)","Fontes de dados",23
"Contratos","Almoxarifado","Requisição de materiais",23
"Educação","Educação","Abonos e justificativas",23
"Contratos","Compras (Cloud)","Interação com o Portal Nacional de Contratações Públicas",23
"Pessoal","eSocial","Outros",23
"Educação","Educação","Matrícula de alunos",22
"Arrecadação","Tributos (Cloud)","Fórmulas de acréscimos",22
"Contábil","Contabilidade (Cloud)","Interação com Portal da Transparência",22
"Educação","Professores","Acesso ao sistema",22
"Arrecadação","Tributos (Cloud)","Extrato do Contribuinte",22
"Contratos","Contratos (Cloud)","Nova rotina",22
"Contábil","Planejamento (Cloud)","Nova rotina",22
"Contábil","Contabilidade (Cloud)","Cadastro de Comprovantes",22
"Pessoal","Folha (Cloud)","Função para fórmula de cálculo",22
"Pessoal","Minha Folha","Outros",22
"Contábil","Contabilidade / SAPO","Outros",22
"Arrecadação","Tributos (Cloud)","Notas avulsas",21
"Contábil","Contabilidade (Cloud)","Bloqueio/Desbloqueio",21
"ISS","Livro Eletrônico (Cloud)","Emitir Nota Fiscal Avulsa",21
"Contábil","Contabilidade (Cloud)","Anexos da Lei 4.320",21
"Contratos","Contratos (Cloud)","Resumo Financeiro da contratação",21
"Contratos","Compras (Cloud)","Nova rotina",21
"Pessoal","Folha (Cloud)","Cálculo da folha mensal",21
"Pessoal","Ponto (Cloud)","Ocorrências de ponto",21
"Pessoal","Pontual (Cloud)","Configurações Gerais do Pontual",21
"ISS","e-Nota Fly","Emissão da nota fiscal",21
"Atendimento","Documentos","Acompanhar assinaturas",21
"Saúde","Saúde Domiciliar (Mobile)","Outros",21
"Contratos","Monitor DF-e","Outros",21
"Contábil","Convênios","Outros",21
"Educação","Educação","Encerramentos",20
"Contratos","Compras (Cloud)","Relatórios Cloud",20
"Arrecadação","Tributos (Cloud)","Condição de parcelamento",20
"Contratos","Compras (Cloud)","Fonte de dados",20
"Contábil","Convênios","Convênios Repassados",20
"Contratos","Almoxarifado","Relatórios",20
"Arrecadação","Tributos (Cloud)","Gerenciar Permissões",20
"Pessoal","Folha (Cloud)","Cadastro de Níveis Salariais",20
"Contratos","Patrimônio (Cloud)","Acesso ao sistema",20
"Contábil","Contabilidade (Cloud)","Encerramento do Período Contábil",20
"Educação","Merenda Escolar","Outros",20
"Educação","Professores","Conteúdo ministrado",19
"Contratos","Frotas (Cloud)","Não existe",19
"Contábil","Contabilidade (Cloud)","Balancete dinâmico",19
"Contratos","Compras (Cloud)","Interações com o Contábil",19
"Contábil","Contabilidade (Cloud)","Cadastro de diárias",19
"Arrecadação","Tributos (Cloud)","Atividades Econômicas",19
"Contábil","Contabilidade (Cloud)","Diária",19
"Contratos","Compras (Cloud)","Anexar arquivos no Processo Administrativo",19
"Atendimento","Transparência (Cloud)","Nova rotina",19
"Arrecadação","Tributos (Cloud)","Configurações do imóvel",19
"Pessoal","Pontual (Cloud)","Geral",19
"Pessoal","Recursos Humanos (Cloud)","Períodos Aquisitivos de Licença",19
"Atendimento","Protocolo (Cloud)","Acompanhamento de processos",19
"Pessoal","Ponto (Cloud)","Apuração de Marcações",19
"Arrecadação","Procuradoria","Outros",19
"ISS","e-Nota (Cloud)","Guia de pagamento",18
"Pessoal","Minha Folha","Não se aplica",18
"Contratos","Compras (Cloud)","Textos do Processo Administrativo",18
"Educação","Educação","Remanejamento interno",18
"Arrecadação","Tributos (Cloud)","Prorrogação/Antecipação de vencimentos",18
"Atendimento","Minha Cidade","Nova rotina",18
"Saúde","Saúde (Cloud)","Agenda",18
"Pessoal","Minha Folha","Recibo de pagamento",18
"Saúde","Saúde (Cloud)","Entrada de Produtos",18
"Contratos","Frotas (Cloud)","Motoristas",18
"Arrecadação","Tributos (Cloud)","Configuração de Transferência de Imóvel",18
"Contábil","Contabilidade (Cloud)","Permissões",18
"Contábil","Planejamento (Cloud)","Emissor de relatório",18
"Atendimento","Transparência (Cloud)","Filtros de consultas",18
"Contábil","Contabilidade (Cloud)","Recursos",18
"Pessoal","Ponto (Cloud)","Gestão de Marcações",18
"Pessoal","Folha (Cloud)","Configuração de férias",18
"Pessoal","Recursos Humanos (Cloud)","Avaliação de Desempenho",18
"Saúde","Saúde (Cloud)","Diversos",18
"Educação","Professores","Outros",18
"ISS","e-Nota (Cloud)","Relatório de Notas Fiscais do Fiscal",17
"Arrecadação","Tributos (Cloud)","Notificação de dívidas",17
"Contratos","Contratos (Cloud)","Textos referentes ao Contrato",17
"Arrecadação","Procuradoria (Cloud)","Movimentação de Processos",17
"Contratos","Compras (Cloud)","Itens da Solicitação de Compra",17
"Contratos","Frotas (Cloud)","Abastecimentos",17
"ISS","Gestão Fiscal","Ação Fiscal",17
"Contratos","Contratos (Cloud)","Responsáveis pelas Contratações",17
"Arrecadação","Tributos (Cloud)","Acesso ao Sistema",17
"Contratos","Frotas (Cloud)","Veículos e equipamentos",17
"Arrecadação","Tributos (Cloud)","Alvará de obras",17
"Atendimento","Transparência (Cloud)","Modelos de dados",17
"Contratos","Patrimônio (Cloud)","Fontes de dados",17
"Contábil","Contabilidade (Cloud)","Assinaturas",17
"Atendimento","Documentos","Nova rotina",17
"Educação","Educação","Calendário escolar do estabelecimento de ensino",17
"Saúde","Saúde (Cloud)","Gestão de Transportes",17
"Pessoal","Recursos Humanos (Cloud)","Atestados Médicos",17
"Pessoal","Folha (Cloud)","Programação de férias",17
"ISS","e-Nota (Cloud)","Emissão de DPS",17
"Contratos","Compras","Outros",17
"Pessoal","Recursos Humanos","Outros",17
"Arrecadação","Tributos (Cloud)","Convênios",16
"Educação","Educação","Calendário escolar da Secretaria de Educação",16
"Educação","Educação","Inscrição para matrícula",16
"Arrecadação","Tributos (Cloud)","Cancelamento de parcelamentos",16
"Arrecadação","Procuradoria (Cloud)","Cancelamento de Documentos",16
"Arrecadação","Procuradoria (Cloud)","Petição Intermediária",16
"Pessoal","Folha (Cloud)","Geração do arquivo da SEFIP/GFIP",16
"Pessoal","Minha Folha","Nova rotina",16
"Contratos","Frotas (Cloud)","Ordens de abastecimentos e serviços",16
"Arrecadação","Tributos (Cloud)","Baixa/Estorno manual",16
"Atendimento","Transparência (Cloud)","Acessibilidade",16
"Educação","Educação","Scripts",16
"Arrecadação","Tributos (Cloud)","Unificação de contribuintes",16
"Contratos","Patrimônio (Cloud)","Transferências de Bens",16
"Pessoal","Folha (Cloud)","Relatório de Encargos eSocial",16
"Arrecadação","Tributos (Cloud)","Lançamentos",16
"Atendimento","Protocolo (Cloud)","Documentos",16
"Arrecadação","Procuradoria (Cloud)","APIs Integrações",16
"Contábil","Transparência (Cloud)","Consultas padrões",16
"ISS","Livro Eletrônico (Cloud)","Outros",16
"Contratos","Patrimônio (Cloud)","Interação com o Portal da Transparência",15
"Contábil","Contabilidade (Cloud)","Cadastro de empenhos",15
"Contábil","Contabilidade (Cloud)","Atos",15
"Pessoal","Minha Folha","Marcações de Ponto",15
"Saúde","Saúde (Cloud)","Gerenciar (Regulação)",15
"Atendimento","Protocolo (Cloud)","Assunto",15
"Contratos","Compras (Cloud)","Agenda de licitação",15
"Saúde","Saúde (Cloud)","Registro Eletrônico de Saúde (RES)",15
"Contratos","Compras (Cloud)","Críticas",15
"Educação","Biblioteca (Cloud)","Processo de empréstimo",15
"Atendimento","Transparência (Cloud)","Relacionamento de anexos",15
"Contratos","Frotas (Cloud)","Relatórios",15
"Atendimento","Transparência (Cloud)","Característica geral",15
"Contratos","Almoxarifado","Transferência de materiais",15
"Contábil","Contabilidade (Cloud)","Retenções",15
"Contábil","Tesouraria (Cloud)","Acesso ao sistema",15
"Pessoal","Folha (Cloud)","Campos Adicionais",15
"Pessoal","Folha (Cloud)","Permissionamento",15
"Contábil","Tesouraria (Cloud)","Nova rotina",15
"Pessoal","Folha (Cloud)","Geração arquivos TCE-SC (e-Sfinge)",15
"Contratos","Patrimônio (Cloud)","Reavaliação de Bens",15
"Plataforma","Studio Aplicações","Geral",15
"Atendimento","Cidadão Web 4 (Fly)","Dados de Guias",15
"Arrecadação","Tributos (Cloud)","Divida Ativa",15
"Atendimento","Documentos","Fluxo de trabalho",15
"Educação","Transporte Escolar","Outros",15
"ISS","e-Nota (Cloud)","Solicitação de acesso ao sistema",14
"ISS","e-Nota (Cloud)","Envio de lote de RPS via WebService (Layout Betha)",14
"Educação","Merenda Escolar","Cardápio escolar",14
"Contratos","Obras","Medição",14
"Educação","Educação","Matriz curricular",14
"Pessoal","Folha (Cloud)","Configuração de médias e vantagens",14
"Contratos","Almoxarifado","Inventário do almoxarifado",14
"Contratos","Patrimônio (Cloud)","Tombamento",14
"Contratos","Almoxarifado","Materiais e serviços",14
"Contábil","Contabilidade (Cloud)","Anexos da Lei de Responsabilidade Fiscal - LRF",14
"Educação","Professores","Acompanhamento pedagógico",14
"Contratos","Patrimônio (Cloud)","Característica geral",14
"Atendimento","Conecta","Geral",14
"Educação","Educação","Dispensas",14
"Pessoal","Folha (Cloud)","Parâmetros Gerais",14
"Contábil","Contabilidade (Cloud)","Geração arquivos TCE-SC (e-Sfinge)",14
"Arrecadação","Tributos (Cloud)","Funções de cálculos para lançamentos",14
"Contratos","Contratos (Cloud)","Despesas",14
"Contábil","Contabilidade (Cloud)","Prestação de contas de consórcios",14
"Contratos","Patrimônio (Cloud)","Service Layer",14
"Saúde","Saúde (Cloud)","Laboratorial (LIS)",14
"Pessoal","Recursos Humanos (Cloud)","APIs Integrações",14
"Atendimento","Minha Cidade","Estrutura de relatórios",13
"Contratos","Compras (Cloud)","Configurações gerais",13
"Contratos","Contratos (Cloud)","Interação com o Almoxarifado",13
"Arrecadação","Procuradoria (Cloud)","Fonte de Dados",13
"Contábil","Tesouraria (Cloud)","Relatórios gerenciais - pagamentos",13
"Contratos","Contratos (Cloud)","Despesas das Contratações",13
"Contratos","Contratos (Cloud)","Despesas da Solicitação de Fornecimento",13
"Contratos","Patrimônio (Cloud)","Localização física/coordenadas do bem",13
"Educação","Pais e Alunos","Desempenhos escolares",13
"Arrecadação","Procuradoria (Cloud)","Petição Inicial",13
"Contratos","Monitor DF-e","NF-e recebidas",13
"Contratos","Contratos (Cloud)","Service layer",13
"Contratos","Compras (Cloud)","Relatórios - ajuste",13
"Saúde","Saúde (Cloud)","Cadastro",13
"Contratos","Patrimônio (Cloud)","Métodos de depreciação",13
"Contratos","Compras (Cloud)","Geração arquivos TCE-PR (SIM-AM)",13
"Contratos","Almoxarifado","Acesso aos almoxarifados",13
"Educação","Educação","Cadastro de pessoas",13
"Educação","Biblioteca (Cloud)","Materiais do acervo",13
"Educação","Professores (App)","Frequência escolar",13
"Contratos","Patrimônio (Cloud)","Baixa de Bens",13
"Pessoal","Pontual (Cloud)","Nova rotina",13
"Pessoal","Recursos Humanos (Cloud)","Despesas de Planos de Saúde",13
"Educação","Professores","Nova rotina",13
"Contábil","Contabilidade (Cloud)","Relação de Comprovantes do EFD-Reinf",13
"Pessoal","Pontual (Cloud)","Reconhecimento facial",13
"Parceiros","Sist Social","Permitir",13
"Plataforma","Ferramenta de Relatórios","Outros",13
"Educação","Educação","Não se aplica",12
"Educação","Educação","Planejamento de aula e conteúdo ministrado",12
"Contratos","Compras (Cloud)","Não se aplica",12
"Contábil","Convênios","Prestação de Contas de Convênios Repassados",12
"Contratos","Obras","Interação com o Portal da Transparência",12
"Arrecadação","Tributos (Cloud)","Notificação de débitos",12
"Pessoal","Recursos Humanos (Cloud)","Cadastro de Empréstimos",12
"Arrecadação","Tributos (Cloud)","Envio SisObra",12
"Arrecadação","Tributos (Cloud)","Averbações",12
"Contratos","Frotas (Cloud)","Nova rotina",12
"Atendimento","Transparência (Cloud)","Consultas personalizadas",12
"Educação","Educação","Movimentações de matrícula",12
"Educação","Educação","Estabelecimentos de ensino",12
"Arrecadação","Procuradoria (Cloud)","Documentos Emitidos",12
"Pessoal","Pontual (Cloud)","Gerenciador de acessos",12
"Pessoal","Recursos Humanos (Cloud)","Gestão de Recrutamento e Seleção",12
"Pessoal","eSocial","Domínios integrados",12
"Pessoal","Recursos Humanos (Cloud)","Períodos Aquisitivos de Adicionais",12
"ISS","e-Nota Fly","Nova rotina",12
"Arrecadação","Procuradoria (Cloud)","Integração com Sistemas de Terceiros",12
"ISS","e-Nota (Cloud)","Nova rotina",12
"ISS","e-Nota (Cloud)","Característica geral",12
"Educação","Pais e Alunos","Outros",12
"ISS","e-Nota (Cloud)","Relatório de Notas Fiscais do Contribuinte",11
"ISS","e-Nota (Cloud)","Cadastro de faturamento bruto",11
"ISS","Livro Eletrônico (Cloud)","Solicitando Acesso ao Sistema",11
"ISS","e-Nota (Cloud)","Cadastro de contribuintes",11
"Educação","Educação","Acompanhamentos pedagógicos",11
"Contratos","Almoxarifado","Não existe",11
"Contábil","Contabilidade (Cloud)","Empenho",11
"Educação","Professores","Quadro de horários",11
"Arrecadação","Tributos (Cloud)","Campos Adicionais",11
"Arrecadação","Procuradoria (Cloud)","Integração Eletrônica com Tribunal de Justiça Estadual.",11
"Contábil","Contabilidade (Cloud)","Devolução de receita",11
"Contratos","Compras (Cloud)","Auditoria",11
"Contratos","Compras (Cloud)","APIs Integrações",11
"Pessoal","Ponto (Cloud)","Relatórios",11
"Contratos","Patrimônio (Cloud)","Depreciação/Exaustão/Amortização de Bens",11
"Pessoal","Recursos Humanos (Cloud)","Matrículas Funcionais",11
"Contratos","Contratos (Cloud)","Scripts",11
"Atendimento","Transparência (Cloud)","Atendimento do acesso à informação",11
"Arrecadação","Tributos (Cloud)","Engenheiros/Arquitetos",11
"Contratos","Compras (Cloud)","e-Sfinge",11
"Arrecadação","Tributos (Cloud)","Benefícios Fiscais",11
"Pessoal","Minha Folha","Validação de usuário",11
"Educação","Educação","Enturmação de profissionais",11
"Pessoal","Folha (Cloud)","Organogramas",11
"Arrecadação","Tributos (Cloud)","Integração SIM-AM",11
"Saúde","Saúde (Cloud)","Requisição de Produtos",11
"Pessoal","Pontual (Cloud)","Matrículas",11
