Vertical,Sistema,Tema,Quantidade
"Plataforma","Admin","Característica geral",11
"Pessoal","eSocial","Não se Aplica (eSocial)",11
"ISS","Gestão Fiscal","Nova rotina",11
"Contábil","Tesouraria (Cloud)","Configurações de remessas bancárias",11
"Plataforma","Studio Extensões","Geral",11
"Pessoal","Pontual (Cloud)","Solicitações",11
"Pessoal","Ponto (Cloud)","Nova rotina",11
"Contratos","Contratos (Cloud)","APIs Integrações",11
"Arrecadação","Tributos (Cloud)","APIs Integrações Tributos",11
"Contratos","Compras (Cloud)","Documento formalização de demanda (DFD)",11
"Atendimento","Conecta","Gerencimento de Tarefas",11
"Educação","Educação","Filiações",10
"Arrecadação","Tributos (Cloud)","Planta de valores",10
"Arrecadação","Tributos (Cloud)","Cobrança Registrada",10
"Arrecadação","Tributos (Cloud)","Créditos Tributários",10
"Atendimento","Cidadão Web 4 (Fly)","Nova rotina",10
"Arrecadação","Tributos (Cloud)","Interações entre Tributos Cloud e Sistema terceiro",10
"Educação","Educação","Competências, conhecimentos, habilidades e atitudes",10
"Contábil","Contabilidade (Cloud)","Artefatos estaduais",10
"Pessoal","Folha (Cloud)","Auditoria",10
"Arrecadação","Procuradoria (Cloud)","Agenda",10
"Arrecadação","Tributos (Cloud)","Scripts específicos",10
"Contratos","Compras (Cloud)","Despesas Orçamentárias da Solicitação de Compra",10
"Plataforma","Ferramenta de Scripts","Característica geral",10
"Contábil","Contabilidade (Cloud)","Cadastro de pagamento de empenho",10
"Contratos","Contratos (Cloud)","Fornecedores",10
"Contratos","Frotas (Cloud)","Viagens",10
"Contratos","Frotas (Cloud)","Reserva de Veículos",10
"ISS","e-Nota (Cloud)","Exportação de notas fiscais",10
"Contratos","Compras (Cloud)","Publicações",10
"Contratos","Compras (Cloud)","Itens da Cotação de Preços",10
"Contratos","Almoxarifado","Nova rotina",10
"Contratos","Contratos (Cloud)","Anulação da Solicitação de Fornecimento",10
"Contábil","Contabilidade (Cloud)","Cadastro de Dívida",10
"Saúde","Saúde (Cloud)","Viagens",10
"Pessoal","eSocial","Eventos gerados",10
"Educação","Transporte Escolar","Usuários do transporte escolar",10
"Atendimento","Protocolo (Cloud)","Service Layer",10
"Pessoal","Minha Folha","Característica geral",10
"Atendimento","Cidadão Web 4 (Fly)","Cobrança via PIX",10
"Pessoal","Recursos Humanos (Cloud)","Cadastro de ASO",10
"Pessoal","Folha (Cloud)","Prorrogação de Contratos Temporários",10
"Pessoal","Recursos Humanos (Cloud)","Configuração da Licença Prêmio",10
"Contratos","Compras","Cadastro de Fornecedores",10
"Atendimento","Cidadão Web 4 (Fly)","Característica geral",10
"Contratos","Compras (Cloud)","Integração Portal de Compras Públicas",10
"Arrecadação","Tributos (Cloud)","Cadastros Gerais",10
"ISS","e-Nota Fly","Cadastro da lista de serviços",10
"Pessoal","Folha (Cloud)","Evento",9
"Educação","Educação","Acesso ao Sistema",9
"Contratos","Compras (Cloud)","Despesas Orçamentárias do Processo Administrativo",9
"Pessoal","Folha (Cloud)","Féria",9
"Contratos","Compras (Cloud)","Consumidor de Dados",9
"Contratos","Compras (Cloud)","Campos Adicionais",9
"Contábil","Tesouraria (Cloud)","Transferências bancárias",9
"Contábil","Contabilidade (Cloud)","Dados adicionais",9
"Contratos","Almoxarifado","Posição de estoque",9
"Arrecadação","Tributos (Cloud)","Estorno de inscrição",9
"Contábil","Tesouraria (Cloud)","Leitura do arquivo de retorno de ordem bancária",9
"Contratos","Patrimônio (Cloud)","Responsáveis",9
"Contratos","Compras (Cloud)","Gerenciador de acessos",9
"Contratos","Compras (Cloud)","Participantes do processo de licitação",9
"Contratos","Frotas (Cloud)","Característica geral",9
"Arrecadação","Tributos (Cloud)","Certidões Negativas de Débitos Contribuinte e Referentes",9
"Pessoal","Folha (Cloud)","Geração dos arquivos de TCE",9
"Arrecadação","Procuradoria (Cloud)","Consulta de Processos",9
"Contratos","Frotas (Cloud)","Controle de viagens",9
"Arrecadação","Procuradoria (Cloud)","Configuração da Integração com Protestos",9
"Educação","Educação","Rematrículas",9
"Contratos","Patrimônio (Cloud)","Estrutura organizacional",9
"Atendimento","Protocolo (Cloud)","Assinador de Documentos",9
"Educação","Educação","Diversos",9
"ISS","Livro Eletrônico","Configuração da Guia de Pagamento",9
"Plataforma","Admin","Nova rotina",9
"ISS","Livro Eletrônico","Característica geral",9
"Pessoal","Folha (Cloud)","Relatório de Recibo de Pagamento",9
"Pessoal","Minha Folha","Ambientes",9
"Pessoal","eSocial","Relatório de retorno de erros enviados",9
"Arrecadação","Tributos (Cloud)","Integração com Transparência Cloud",9
"ISS","Livro Eletrônico","Dados da Declaração",9
"Pessoal","Folha (Cloud)","Relatório de Período Aquisitivo de Férias",9
"ISS","Livro Eletrônico","Cadastro do Plano de Contas",9
"ISS","Livro Eletrônico","Declarar Serviço Prestado",9
"Pessoal","Gerador de Relatórios","Outros",9
"Pessoal","Ponto","Outros",9
"Atendimento","Protocolo Fly","Outros",9
"Educação","Professores","Frequência Escolar",8
"Educação","Pais e Alunos","Não se aplica",8
"Educação","Professores","Cadastro de instrumentos de avaliação",8
"Arrecadação","Tributos (Cloud)","Cálculo (Fórmulas)",8
"Arrecadação","Tributos (Cloud)","Geoprocessamento",8
"Arrecadação","Procuradoria (Cloud)","Gestão de Dívida Ativa",8
"Contratos","Contratos (Cloud)","Campos adicionais",8
"Contábil","Contabilidade (Cloud)","Cadastro de validações",8
"Educação","Educação","Inscrição online",8
"Arrecadação","Tributos (Cloud)","Entrega de documentos",8
"Arrecadação","Procuradoria (Cloud)","Contribuintes",8
"Pessoal","Folha (Cloud)","Cadastro de Atos",8
"Contratos","Almoxarifado","Controle de saldo",8
"Contratos","Compras (Cloud)","Pesquisa de preços",8
"Contratos","Compras (Cloud)","Ocorrências da ata de registro de preço",8
"Atendimento","Cidadão Web 4 (Fly)","Configuração de Certidão Negativa de Débitos de Contribuinte",8
"Contratos","Contratos (Cloud)","Itens do Apostilamento",8
"Arrecadação","Tributos (Cloud)","Importação de Arquivos do Simples Nacional",8
"Contratos","Compras (Cloud)","Cadastro único",8
"Contratos","Compras (Cloud)","Estrutura organizacional",8
"Contratos","Compras (Cloud)","Responsáveis",8
"Contratos","Compras (Cloud)","SIM-AM",8
"Arrecadação","Tributos (Cloud)","Cupons de descontos",8
"Arrecadação","Tributos (Cloud)","Remembramento",8
"Educação","Professores","Alocação de aulas",8
"Contábil","Tesouraria (Cloud)","Relatórios gerenciais - conciliação bancária",8
"Saúde","Saúde (Cloud)","Gestão de Acesso ao Sistema",8
"Contábil","Contabilidade (Cloud)","SIOPS",8
"Contábil","Contabilidade (Cloud)","Anulação de Empenho",8
"Atendimento","Transparência (Cloud)","Exportação de consultas",8
"Atendimento","Protocolo (Cloud)","Licença ITBI",8
"Pessoal","Ponto (Cloud)","Compensação de Horas",8
"ISS","Livro Eletrônico (Cloud)","Característica geral",8
"Pessoal","Pontual (Cloud)","Configuração de Biometria",8
"Contratos","Compras (Cloud)","Modalidades de licitação",8
"Contratos","Patrimônio (Cloud)","Movimentação dos Bens Patrimoniais",8
"Pessoal","Recursos Humanos (Cloud)","Laudos PPRA - PCMSO - LTCAT",8
"Atendimento","Cidadão Web 4 (Fly)","Cadastro de Convênios",8
"Atendimento","Protocolo (Cloud)","Guias de pagamento",8
"Atendimento","Cidadão Web 4 (Fly)","Cobrança via cartão de crédito",8
"Atendimento","Protocolo (Cloud)","Notificações",8
"Pessoal","Recursos Humanos (Cloud)","Cadastro de Diárias",8
"Atendimento","Cidadão Web 4 (Fly)","Informações Cadastrais",8
"Pessoal","Recursos Humanos (Cloud)","Configuração de Vale Transporte",8
"Pessoal","Recursos Humanos (Cloud)","Fonte de dados",8
"Atendimento","Protocolo (Cloud)","Protocolos pendentes",8
"Pessoal","Recursos Humanos (Cloud)","Cadastro de Plano de Saúde",8
"Plataforma","Central do Usuário","Característica geral",8
"Pessoal","Folha (Cloud)","Comprovante de rendimentos",8
"Saúde","Saúde (Cloud)","Gestão do Estoque da Unidade de Saúde",8
"Atendimento","Transparência (Cloud)","Acesso à informação",8
"Saúde","Saúde (Cloud)","Ficha de Cadastro Domiciliar e Territorial",8
"Arrecadação","Tributos (Cloud)","Relatório Resumo das Dívidas",8
"Pessoal","Recursos Humanos (Cloud)","Configuração de Adicionais",8
"Arrecadação","Tributos (Cloud)","Auditoria",8
"Pessoal","Ponto (Cloud)","APIs Integrações",8
"Educação","Educação","APIs Integrações",8
"Contábil","Contabilidade (Cloud)","Anexos do RREO e RGF - LRF",8
"ISS","e-Nota (Cloud)","Gerenciador de relatórios",8
"Contábil","Contabilidade (Cloud)","Emendas",8
"Pessoal","ArqJob","Outros",8
"Atendimento","Portal do Gestor","Outros",8
"Plataforma","Admin","Outros",8
"Arrecadação","Fatura","Emissão de Faturas",7
"ISS","e-Nota (Cloud)","Mobile - Emissão da nota fiscal",7
"Atendimento","Minha Cidade","Emissão de certidões",7
"Contratos","Almoxarifado","Consumidor de Dados",7
"Educação","Merenda Escolar","Alunos",7
"Educação","Pais e Alunos","Nova rotina",7
"Arrecadação","Tributos (Cloud)","Tabelas de cálculo",7
"Saúde","Saúde (Cloud)","Não existe",7
"Contratos","Compras (Cloud)","Comissões de licitação",7
"Pessoal","Folha (Cloud)","Folha",7
"Educação","Professores","Aprovação do planejamento",7
"Pessoal","Folha (Cloud)","Relatórios Gerais",7
"Educação","Educação","Enturmação de alunos",7
"Educação","Professores","Característica geral",7
"Contratos","Compras (Cloud)","Contratações e compras diretas",7
"Atendimento","Portal do Gestor","PDG - Característica geral",7
"Pessoal","Folha (Cloud)","Cálculo de 13º Salário integral",7
"Arrecadação","Tributos (Cloud)","Migração de Dados",7
"Contábil","Contabilidade (Cloud)","Plano de Contas",7
"Contábil","Contabilidade (Cloud)","Cadastro de equivalências",7
"Arrecadação","Tributos (Cloud)","Script -  Portal Gestor",7
"Educação","Professores","Medições antropométricas",7
"Pessoal","eSocial","Envio de arquivos",7
"Atendimento","Portal do Gestor","Nova rotina",7
"Educação","Educação","Horas/aulas por dia",7
"Educação","Biblioteca (Cloud)","Acesso ao sistema",7
"Educação","Educação","Definição dos tipos de avaliações da turma",7
"Pessoal","Folha (Cloud)","Processo de reajustes salariais",7
"Educação","Biblioteca (Cloud)","Nova rotina",7
"Contábil","Contabilidade (Cloud)","Interação com Patrimônio",7
"Educação","Professores","Acesso de gestores",7
"Plataforma","Central do Usuário","Acesso ao Sistema",7
"Contábil","Tesouraria (Cloud)","Credores",7
"ISS","e-Nota Fly","Guia de pagamento",7
"Pessoal","Recursos Humanos (Cloud)","Acidente de Trabalho",7
"Arrecadação","Tributos (Cloud)","Importação INSCOBRA - Divida Ativa Simples Nacional",7
"Atendimento","Protocolo (Cloud)","Fonte de Dados",7
"Contábil","Contabilidade (Cloud)","Ferramenta de Auditoria",7
"Contratos","Compras (Cloud)","Documentos e Certificados",7
"Atendimento","Cidadão Web 4 (Fly)","Cobrança registrada",7
"Pessoal","Recursos Humanos (Cloud)","Característica geral",7
"Pessoal","Ferramentas","Nova rotina",7
"Pessoal","Pontual (Cloud)","Acessos pendentes",7
"Arrecadação","Procuradoria (Cloud)","Movimentações de Protesto de Dívida Ativa",7
"Pessoal","Folha (Cloud)","Bases de cálculo",7
"Contratos","Monitor DF-e","Característica geral",7
"Pessoal","Pontual (Cloud)","Cadastro de Relógios",7
"Contratos","Monitor DF-e","Nova rotina",7
"Atendimento","Protocolo (Cloud)","Confirmação de processos",7
"Pessoal","Recursos Humanos (Cloud)","Customização de Relatórios",7
"Contábil","Contabilidade (Cloud)","Nota de Empenho",7
"Arrecadação","Tributos (Cloud)","Baixa de Pagamentos",7
"ISS","Gestão Fiscal","Ordem de Serviço",7
"Arrecadação","Tributos (Cloud)","Transferência de dividas",7
"Arrecadação","Tributos (Cloud)","Englobamento",7
"Saúde","Saúde (Cloud)","Vigilância",7
"Contábil","Planejamento (Cloud)","APIs Integrações",7
"Arrecadação","Procuradoria (Cloud)","Honorários",7
"ISS","e-Nota (Cloud)","Envio de DPS por Web Service",7
"Plataforma","Studio Aplicações","Outros",7
"Arrecadação","Fatura","Exporta Arquivo para Coletor",6
"Arrecadação","Fatura","Lançamento de Leituras",6
"ISS","e-Nota (Cloud)","Resumo das notas fiscais emitidas",6
"ISS","e-Nota (Cloud)","Configurações gerais do sistema",6
"ISS","Livro Eletrônico","Módulo Fiscal >> Relatórios >> Maiores Contribuintes >> Prestadores",6
"ISS","Livro Eletrônico (Cloud)","Analisando a Solicitação de Acesso",6
"Educação","Educação","Não existe",6
"Educação","Educação","Feriados",6
"Arrecadação","Tributos (Cloud)","Seções",6
"Arrecadação","Tributos (Cloud)","Relatório de Valores das Dívidas",6
"Educação","Merenda Escolar","Cadastro de Ingredientes",6
"Arrecadação","Tributos (Cloud)","Assinatura digital",6
"ISS","Livro Eletrônico","Módulo Contribuinte >> Guias de Pagamento >> Emitir Guia",6
"Contábil","Contabilidade (Cloud)","Consumidor de Dados",6
"Contratos","Patrimônio (Cloud)","Baixa",6
"Arrecadação","Tributos (Cloud)","Loteamentos",6
"Contábil","Contabilidade (Cloud)","Credor",6
"Arrecadação","Tributos (Cloud)","Fonte de Dados",6
"Educação","Merenda Escolar","Receitas",6
"Contratos","Almoxarifado","Entradas de materiais",6
"Contábil","Contabilidade (Cloud)","Naturezas de Receita",6
"Contratos","Almoxarifado","Almoxarifados",6
"Arrecadação","Tributos (Cloud)","Obras",6
"Contratos","Patrimônio (Cloud)","Interação com o Contratos",6
"Atendimento","Transparência (Cloud)","Menus do portal",6
"Contábil","Contabilidade (Cloud)","Anexos gerenciais - execução orçamentária da despesa",6
"Arrecadação","Tributos (Cloud)","Template",6
"Atendimento","Cidadão Web 4 (Fly)","Configuração de Guias de Pagamento",6
"Contábil","Contabilidade (Cloud)","Cadastro de Retenções",6
"Contratos","Contratos (Cloud)","Comprovantes",6
"ISS","Livro Eletrônico","Nova rotina",6
"Contábil","Planejamento (Cloud)","Despesas do PPA",6
"Arrecadação","Procuradoria (Cloud)","Ajuizamento Eletrônico",6
"Contábil","Contabilidade (Cloud)","Cadastro de Conta Corrente",6
"Arrecadação","Procuradoria (Cloud)","Visão Geral do Gerenciamento de Dívidas Ativas",6
"Arrecadação","Tributos (Cloud)","Cancelamento/Reativação de documentos",6
"Saúde","Saúde (Cloud)","Flexibilização de relatórios",6
"Contábil","Contabilidade (Cloud)","Relação de Alterações Orçamentárias da Despesa",6
"Atendimento","Transparência (Cloud)","Estrutura organizacional",6
"Contratos","Patrimônio (Cloud)","Tipos de reavaliação",6
"Arrecadação","Tributos (Cloud)","Histórico da Movimentação da Divida Ativa",6
"Contratos","Contratos (Cloud)","Gerenciador de acessos",6
"Arrecadação","Procuradoria (Cloud)","Cadastro da Dívida Ativa",6
"Educação","Educação","Eventos",6
"Contratos","Compras (Cloud)","Tipos de objeto",6
"Plataforma","Ferramenta de Scripts","Nova rotina",6
"Contábil","Tesouraria (Cloud)","Devolução de receitas",6
"Pessoal","Minha Folha","Consulta de recibos integrados",6
"Educação","Professores (App)","Sincronização",6
"Saúde","Saúde (Cloud)","Configurações",6
"Arrecadação","Tributos (Cloud)","Indexadores",6
"Educação","Biblioteca (Cloud)","Leitores",6
"ISS","Livro Eletrônico","Emitir a Guia de Pagamento",6
"Saúde","Saúde (Cloud)","Atividade Coletiva",6
"Arrecadação","Tributos (Cloud)","Contribuição de melhoria",6
"Arrecadação","Tributos (Cloud)","Desmembramentos",6
"Educação","Educação","Definição do tipo de frequência da turma",6
"Saúde","Saúde (Cloud)","Nova rotina",6
"Contábil","Planejamento (Cloud)","Alteração orçamentária da receita",6
"Pessoal","Ponto (Cloud)","Importar marcações",6
"Contábil","Planejamento (Cloud)","Despesas da LOA",6
"Arrecadação","Tributos (Cloud)","Integração bancária para pagamentos",6
"Saúde","Saúde (Cloud)","Painel de Chamadas",6
"Pessoal","eSocial","EFD-Reinf",6
"Contábil","Planejamento (Cloud)","Abertura de exercício",6
"Pessoal","eSocial","Agenda de envios",6
"Contratos","Obras","Característica geral",6
"Arrecadação","Procuradoria (Cloud)","Comunicação com o Tribunal de Justiça",6
"Contratos","Patrimônio (Cloud)","Bens em Inventário",6
"Contábil","Contabilidade (Cloud)","Despesas não prevista na LOA",6
"Contratos","Contratos (Cloud)","Interação com o Patrimônio",6
"Atendimento","Protocolo (Cloud)","Histórico de processos",6
"Plataforma","Ferramenta Orquestrador","Nova rotina",6
"Pessoal","Folha","Gerenciador de Relatórios",6
"Contratos","Frotas (Mobile)","Checklist do Veículo",6
"Pessoal","Pontual (Cloud)","Validação de usuários",6
"Atendimento","Protocolo (Cloud)","Pessoas",6
"ISS","Livro Eletrônico","Cadastro de Contribuintes",6
"Pessoal","Recursos Humanos (Cloud)","Controle de Vale Transporte",6
"Pessoal","Folha (Cloud)","Gestão de médias e vantagens",6
"Contábil","Contabilidade (Cloud)","Relação de Pagamentos Efetuados",6
"Contratos","Obras","Nova rotina",6
"Pessoal","Ponto (Cloud)","Sistemas integrados",6
"Contratos","Compras (Cloud)","Anexar arquivos nas Solicitações de Compra",6
"Atendimento","Cidadão Web 4 (Fly)","Situação do Contribuinte",6
"Saúde","Saúde (Cloud)","Indicadores",6
"Pessoal","Folha (Cloud)","Cadastro de Manutenção de Estabelecimentos",6
"Pessoal","Ponto (Cloud)","Gerenciador de Permissões",6
"Arrecadação","Procuradoria (Cloud)","Configuração da Execução Fiscal Eletrônica",6
"Pessoal","Folha (Cloud)","Relatório de Encargos de INSS e FGTS",6
"Arrecadação","Tributos (Cloud)","Geração arquivos TCE-SC (e-Sfinge)",6
"Saúde","Saúde Domiciliar (Mobile)","Cadastros",6
"Saúde","Saúde (Cloud)","Cadastro de Imunização",6
"Pessoal","Folha (Cloud)","Scripts padrões",6
"Pessoal","Folha (Cloud)","Listagem de funcionários - dinâmica",6
"Pessoal","Folha","Nova rotina",6
"Pessoal","Pontual (Cloud)","(NÃO UTILIZAR) Frontend",6
"ISS","e-Nota (Cloud)","Nota",6
"Contratos","Contratos (Cloud)","Relatório de Saldos das Contratações Por Organograma e Solicitação",6
"Atendimento","Cidadão Web (Cloud)","Nova rotina",6
"Contratos","Almoxarifado (Mobile)","Outros",6
"Plataforma","Documentos","Outros",6
"Atendimento","Transparência Fly","Outros",6
"Atendimento","Documentos","Outros",6
"ISS","Gestão Fiscal","Movimentação Fiscal",5
"Arrecadação","Fatura","Leitura de Arquivos Bancários",5
"Pessoal","Pontual (Cloud)","Relógio",5
"Arrecadação","Tributos (Cloud)","Integração com o E-nota Fly",5
"Arrecadação","Tributos (Cloud)","Condomínios",5
"ISS","e-Nota (Cloud)","Liberação de acesso ao sistema",5
"Educação","Educação","Cadastro de turma",5
"Educação","Educação","Quadros de vagas",5
"Educação","Merenda Escolar","Cardápios escolares",5
"Educação","Merenda Escolar","Administrando >> Alunos >> Alunos",5
"Pessoal","Folha (Cloud)","Sistema",5
"Educação","Educação","Calendário escolar da matriz curricular",5
"Contábil","Contabilidade (Cloud)","Nota",5
"Contratos","Contratos (Cloud)","Iten",5
"Contábil","Contabilidade (Cloud)","Despesa",5
"Contábil","Contabilidade (Cloud)","Arrecadação",5
"Arrecadação","Tributos (Cloud)","Requerimento / Manutenção de Lançamento",5
"Contábil","Contabilidade (Cloud)","Balancete",5
"Contratos","Almoxarifado","Fonte de Dados",5
"Arrecadação","Procuradoria (Cloud)","Dividas",5
"Pessoal","Ponto (Cloud)","Ponto",5
"Contábil","Contabilidade (Cloud)","Conta",5
"Contratos","Compras (Cloud)","Cadastro de Fornecedores",5
"ISS","e-Nota Fly","Módulo Fiscal >> Relatórios >> Notas Fiscais",5
"Pessoal","Folha (Cloud)","Ocorrências disciplinares",5
"Pessoal","Folha (Cloud)","Afastamento",5
"Contratos","Almoxarifado","Almoxarifado",5
"Pessoal","Folha","Migração Betha FolhaRh / Folha Cloud",5
"Educação","Transporte Escolar","Rotas",5
"Contratos","Patrimônio (Cloud)","Utilização do bem",5
"Contábil","Contabilidade (Cloud)","Cadastro de Entidades",5
"Atendimento","Cidadão Web 4 (Fly)","Scripts para Cálculo de Correções",5
"Arrecadação","Procuradoria (Cloud)","Cadastro de Movimentação de Processos",5
"Contratos","Contratos (Cloud)","Cancelamento do Contrato Administrativo",5
"Contratos","Compras (Cloud)","Configurações da entidade",5
"Contábil","Contabilidade (Cloud)","Programação da Receita",5
"Pessoal","Minha Folha","Configuração de solicitação",5
"Contratos","Patrimônio (Cloud)","Nova rotina",5
"Arrecadação","Tributos (Cloud)","Consulta de viabilidade",5
"Pessoal","Folha (Cloud)","Geração do arquivo da RAIS",5
"Arrecadação","Tributos (Cloud)","Certidão de Transferência de Imóveis",5
"Contratos","Patrimônio (Cloud)","Baixa patrimonial",5
"Contábil","Contabilidade (Cloud)","Cadastro de Responsáveis",5
"Atendimento","Transparência (Cloud)","Relatórios padrões",5
"Contratos","Contratos (Cloud)","Termo de Apostilamento do Contrato",5
"Pessoal","Folha (Cloud)","Cadastro de Feriados",5
"Contábil","Contabilidade (Cloud)","Cadastro de arrecadações orçamentárias",5
"Contratos","Contratos (Cloud)","e-Sfinge",5
"Atendimento","Transparência (Cloud)","Notificações do acesso à informação",5
"Pessoal","Folha (Cloud)","Consulta rápida",5
"Saúde","Saúde (Cloud)","Baixa de Produtos",5
"Pessoal","Folha (Cloud)","Serviços do autônomo",5
"Contratos","Monitor DF-e","Interação com o Contabilidade Cloud",5
"Arrecadação","Tributos (Cloud)","Bairros",5
"Contratos","Almoxarifado","Característica geral",5
"Contratos","Compras (Cloud)","Documentação dos participantes do processo",5
"Pessoal","Folha (Cloud)","Geração do arquivo do SIOPE",5
"Arrecadação","Tributos (Cloud)","Termo de Parcelamento",5
"Plataforma","Admin","Liberação Acesso Técnico",5
"Contábil","Tesouraria (Cloud)","Arrecadações orçamentárias",5
"Arrecadação","Tributos (Cloud)","Motivos",5
"Contratos","Compras","Divisão de Itens das Entidades Participantes do Processo Licitatório",5
"Pessoal","Folha (Cloud)","Geração de arquivo do recibo de folha de pagamento",5
"Contábil","Contabilidade (Cloud)","Cadastro de Eventos Contábeis",5
"Pessoal","Ponto (Cloud)","Importação de marcações",5
"Atendimento","Cidadão Web 4 (Fly)","Emissão de Certidão Fiscal Venal",5
"Pessoal","eSocial","Nova rotina",5
"Atendimento","Transparência (Cloud)","Canal de atendimento",5
"Atendimento","Transparência (Cloud)","Parametrização do acesso à informação",5
"Pessoal","eSocial","Gerenciador de acessos",5
"Atendimento","Transparência (Cloud)","Gerenciador de interações",5
"Contábil","Contabilidade (Cloud)","Interação entre sistemas",5
"Atendimento","Minha Cidade","Guia",5
"Contábil","Transparência (Cloud)","Característica geral",5
"Educação","Professores","Diversos",5
"Pessoal","Folha","Integração - eSocial",5
"Arrecadação","Procuradoria (Cloud)","Assinatura Eletrônica",5
"Arrecadação","Tributos (Cloud)","Integração REGIN",5
"Contábil","Contabilidade (Cloud)","Início do exercício",5
"Contábil","Contabilidade (Cloud)","SIM-AM",5
"Educação","Educação","Objetivos de aprendizagem e desenvolvimento",5
"Pessoal","Folha (Cloud)","Reintegração de Funcionários",5
"Atendimento","Protocolo (Cloud)","Meus Processos",5
"Atendimento","Protocolo (Cloud)","Configuração de usuários",5
"Contábil","Convênios","Convênios Recebidos",5
"Arrecadação","Tributos (Cloud)","Eventos do Simples Nacional",5
"Pessoal","Recursos Humanos (Cloud)","Integração com o eSocial",5
"Atendimento","Protocolo (Cloud)","Gerenciador de acessos",5
"Pessoal","Folha (Cloud)","Gestão de Provisão",5
"Saúde","Saúde (Cloud)","Agendamento",5
"Atendimento","Transparência (Cloud)","Solicitação de acesso à informação",5
"Contábil","Contabilidade / SAPO","Transparência Cloud",5
"Pessoal","Recursos Humanos (Cloud)","Relatório de tempo de serviço",5
"Plataforma","Central do Usuário","Cadastro de Usuários",5
"Contábil","Contabilidade (Cloud)","Interação Portal do Gestor",5
"Educação","Professores","Acesso dos professores",5
"ISS","e-Nota Fly","Módulo Contribuinte >> Nota Fiscal >> Relatório notas",5
"Atendimento","Conecta","Nova rotina",5
"ISS","Gestão Fiscal","Auto de infração",5
"Atendimento","Protocolo (Cloud)","Gerenciador de relatórios",5
"Pessoal","Recursos Humanos (Cloud)","Remodelagem de períodos aquisitivos",5
"Pessoal","Folha (Cloud)","Cálculo de 13º Salário adiantado",5
"Pessoal","Recursos Humanos (Cloud)","Riscos ambientais",5
"Atendimento","Protocolo (Cloud)","Juntada de processos",5
"Pessoal","Folha (Cloud)","Fechamento do cálculo",5
"ISS","Livro Eletrônico","Declarar Serviço Tomado",5
"Pessoal","Folha (Cloud)","Relatório de Resumo Mensal da Folha",5
"Pessoal","Folha (Cloud)","Relatório de Funcionários",5
"Atendimento","Cidadão Web 4 (Fly)","Configuração de Certidão Fiscal Venal",5
"Pessoal","Ponto (Cloud)","Cadastro de Ausência",5
"Contratos","Contratos (Cloud)","Relatório de Saldos das Contratações",5
"ISS","e-Nota Fly","Exportação de notas para o TSE",5
"Pessoal","Recursos Humanos (Cloud)","Afastamentos",5
"Atendimento","Protocolo (Cloud)","APIs",5
"Atendimento","Cidadão Web 4 (Fly)","Gerais",5
"Arrecadação","Procuradoria (Cloud)","Atualização de Valores da CDA",5
"Contábil","Planejamento (Cloud)","Anexos da Lei 4.320/64",5
"Contábil","Contabilidade (Cloud)","APIs Integrações",5
"Atendimento","Protocolo (Cloud)","Assinatura digital",5
"ISS","Livro Eletrônico","APIs Integrações",5
"Contratos","Frotas (Cloud)","Manutenções",5
"ISS","Livro Eletrônico (Cloud)","Cadastro do Plano de Contas - COSIF",5
"ISS","e-Nota (Cloud)","Permitir",5
"Atendimento","Protocolo (Cloud)","Permitir",5
"Saúde","Saúde (Cloud)","Visitas Domiciliares",5
"ISS","e-Nota Fly","Configurações gerais de nota fiscal",5
"Contábil","Transparência (Cloud)","Consultas personalizadas",5
"Contábil","Tesouraria (Cloud)","Aplicações bancárias",5
"Arrecadação","Tributos (Cloud)","Integração Bombeiro",5
"ISS","Gestão Fiscal","Característica geral",5
"Educação","Professores (App)","Outros",5
"Contratos","Ferramentas de Conversão","Outros",5
"Pessoal","Sistema de Senhas","Outros",5
"Arrecadação","Gerador de Carnês","Outros",5
"Contábil","Prestação de Contas","Outros",5
"Plataforma","Central do Usuário","Outros",5
"Plataforma","Conecta","Outros",5
